time,xposition,yposition
31.115,297.0,385.0
31.155,296.0,384.0
31.196,298.0,377.0
31.236,301.0,364.0
31.275,305.0,349.0
31.317,310.0,336.0
31.356,318.0,329.0
31.397,325.0,327.0
31.44,334.0,326.0
31.477,341.0,327.0
31.517,344.0,327.0
31.557,343.0,326.0
31.594,342.0,326.0
31.634,342.0,327.0
31.676,342.0,327.0
31.717,342.0,327.0
31.757,342.0,327.0
31.798,342.0,327.0
31.837,342.0,327.0
31.876,343.0,326.0
31.916,350.0,325.0
31.956,358.0,323.0
31.997,371.0,321.0
32.036,383.0,319.0
32.076,396.0,319.0
32.117,411.0,321.0
32.157,421.0,325.0
32.197,428.0,329.0
32.239,441.0,341.0
32.279,453.0,348.0
32.317,459.0,351.0
32.358,464.0,353.0
32.396,464.0,356.0
32.437,465.0,361.0
32.477,463.0,366.0
32.516,462.0,374.0
32.557,462.0,382.0
32.596,460.0,393.0
32.637,459.0,403.0
32.677,460.0,413.0
32.717,459.0,422.0
32.758,457.0,430.0
32.798,451.0,441.0
32.836,446.0,452.0
32.877,440.0,459.0
32.917,428.0,463.0
32.957,416.0,468.0
32.997,407.0,472.0
33.039,398.0,471.0
33.076,389.0,466.0
33.115,379.0,462.0
33.157,372.0,457.0
33.195,365.0,453.0
33.239,358.0,446.0
33.278,351.0,441.0
33.317,346.0,435.0
33.358,341.0,432.0
33.398,339.0,432.0
33.435,335.0,431.0
33.478,328.0,429.0
33.519,320.0,427.0
33.558,314.0,424.0
33.597,309.0,416.0
33.639,307.0,409.0
33.678,306.0,403.0
33.719,306.0,400.0
33.757,306.0,398.0
33.797,306.0,396.0
33.837,307.0,395.0
33.878,306.0,396.0
33.918,306.0,396.0
33.958,306.0,395.0
33.998,307.0,395.0
34.038,307.0,395.0
34.077,306.0,395.0
34.117,306.0,395.0
34.158,305.0,394.0
34.2,304.0,386.0
34.238,303.0,371.0
34.279,302.0,356.0
34.318,300.0,341.0
34.356,302.0,324.0
34.399,303.0,309.0
34.439,302.0,295.0
34.479,300.0,279.0
34.517,297.0,263.0
34.559,294.0,250.0
34.598,291.0,238.0
34.64,288.0,228.0
34.678,281.0,219.0
34.719,271.0,211.0
34.758,262.0,204.0
34.8,252.0,198.0
34.84,240.0,195.0
34.879,229.0,194.0
34.918,221.0,193.0
34.958,215.0,190.0
34.996,212.0,189.0
35.038,214.0,190.0
35.078,215.0,192.0
35.117,214.0,197.0
35.161,212.0,203.0
35.199,208.0,211.0
35.238,202.0,217.0
35.279,194.0,222.0
35.32,185.0,225.0
35.359,178.0,226.0
35.399,173.0,226.0
35.443,169.0,227.0
35.477,166.0,228.0
35.517,166.0,228.0
35.559,166.0,228.0
35.599,166.0,227.0
35.642,167.0,227.0
35.68,167.0,227.0
35.719,167.0,227.0
35.758,167.0,227.0
35.799,167.0,227.0
35.839,163.0,227.0
35.879,153.0,225.0
35.919,138.0,224.0
35.958,127.0,222.0
35.998,115.0,219.0
36.037,109.0,216.0
36.079,103.0,209.0
36.119,99.0,198.0
36.159,95.0,188.0
36.199,92.0,183.0
36.24,92.0,180.0
36.278,91.0,179.0
36.317,91.0,180.0
36.357,91.0,179.0
36.397,91.0,180.0
36.437,91.0,180.0
36.477,91.0,180.0
36.518,91.0,180.0
36.559,91.0,181.0
36.601,91.0,181.0
36.639,91.0,181.0
36.679,91.0,180.0
36.72,90.0,177.0
36.759,91.0,169.0
36.799,91.0,156.0
36.84,91.0,144.0
36.879,90.0,130.0
36.92,94.0,119.0
36.96,99.0,112.0
36.999,107.0,110.0
37.04,113.0,109.0
37.081,123.0,107.0
37.118,127.0,107.0
37.16,127.0,106.0
37.2,127.0,105.0
37.238,127.0,105.0
37.28,127.0,105.0
37.32,127.0,106.0
37.359,127.0,106.0
37.398,127.0,106.0
37.438,127.0,106.0
37.48,127.0,106.0
37.52,129.0,105.0
37.561,136.0,105.0
37.6,154.0,107.0
37.643,177.0,111.0
37.678,195.0,116.0
37.72,199.0,121.0
37.758,202.0,127.0
37.799,204.0,132.0
37.842,204.0,139.0
37.88,204.0,144.0
37.92,204.0,147.0
37.96,204.0,147.0
38.0,205.0,147.0
38.042,205.0,147.0
38.081,205.0,147.0
38.12,204.0,147.0
38.16,204.0,147.0
38.2,204.0,147.0
38.24,204.0,147.0
38.281,204.0,148.0
38.321,205.0,155.0
38.36,206.0,170.0
38.398,207.0,184.0
38.441,205.0,200.0
38.48,202.0,211.0
38.522,197.0,218.0
38.561,189.0,224.0
38.601,181.0,225.0
38.644,174.0,225.0
38.68,170.0,225.0
38.72,167.0,226.0
38.761,167.0,227.0
38.8,166.0,226.0
38.84,166.0,225.0
38.88,167.0,225.0
38.921,167.0,225.0
38.962,167.0,225.0
39.002,167.0,225.0
39.04,167.0,225.0
39.08,167.0,225.0
39.12,165.0,226.0
39.16,158.0,226.0
39.2,142.0,225.0
39.24,127.0,226.0
39.281,113.0,228.0
39.32,101.0,229.0
39.361,88.0,231.0
39.401,77.0,235.0
39.441,68.0,241.0
39.482,58.0,246.0
39.52,52.0,253.0
39.561,46.0,261.0
39.598,41.0,270.0
39.642,37.0,281.0
39.681,36.0,292.0
39.72,36.0,301.0
39.761,38.0,310.0
39.801,42.0,322.0
39.84,47.0,332.0
39.881,59.0,340.0
39.92,73.0,348.0
39.961,81.0,354.0
40.001,88.0,356.0
40.041,95.0,358.0
40.081,96.0,360.0
40.121,96.0,364.0
40.161,97.0,367.0
40.2,98.0,372.0
40.241,99.0,376.0
40.279,99.0,381.0
40.32,98.0,386.0
40.361,98.0,393.0
40.402,107.0,409.0
40.443,121.0,421.0
40.479,126.0,422.0
40.522,134.0,422.0
40.562,138.0,423.0
40.602,140.0,423.0
40.641,141.0,423.0
40.682,141.0,423.0
40.721,140.0,423.0
40.759,139.0,423.0
40.799,139.0,423.0
40.839,140.0,423.0
40.878,140.0,423.0
40.923,140.0,423.0
40.962,140.0,423.0
41.0,141.0,423.0
41.041,147.0,423.0
41.082,159.0,424.0
41.119,172.0,426.0
41.16,184.0,427.0
41.201,194.0,424.0
41.241,203.0,419.0
41.281,207.0,411.0
41.321,207.0,402.0
41.361,206.0,395.0
41.403,206.0,393.0
41.442,207.0,393.0
41.48,207.0,393.0
41.522,207.0,394.0
41.562,206.0,394.0
41.603,206.0,394.0
41.641,206.0,394.0
41.68,206.0,394.0
41.723,206.0,394.0
41.762,206.0,394.0
41.801,206.0,393.0
41.842,208.0,390.0
41.885,210.0,380.0
41.921,212.0,367.0
41.96,216.0,353.0
42.003,221.0,339.0
42.042,229.0,323.0
42.081,238.0,310.0
42.123,250.0,298.0
42.163,261.0,287.0
42.202,273.0,278.0
42.242,286.0,270.0
42.282,298.0,264.0
42.322,310.0,260.0
42.364,326.0,256.0
42.403,339.0,255.0
42.443,350.0,255.0
42.484,362.0,256.0
42.523,373.0,259.0
42.563,383.0,261.0
42.603,391.0,262.0
42.643,398.0,261.0
42.681,405.0,259.0
42.722,411.0,254.0
42.762,416.0,247.0
42.803,418.0,241.0
42.845,419.0,230.0
42.883,418.0,219.0
42.923,418.0,211.0
42.963,416.0,206.0
43.003,416.0,201.0
43.046,417.0,194.0
43.083,419.0,193.0
43.123,418.0,192.0
43.163,418.0,192.0
43.203,418.0,191.0
43.241,418.0,189.0
43.281,418.0,189.0
43.325,418.0,189.0
43.363,418.0,188.0
43.404,418.0,189.0
43.443,418.0,188.0
43.48,418.0,189.0
43.523,420.0,180.0
43.562,421.0,160.0
43.604,422.0,145.0
43.643,423.0,138.0
43.683,423.0,128.0
43.723,418.0,119.0
43.762,411.0,111.0
43.803,401.0,108.0
43.841,391.0,105.0
43.883,385.0,104.0
43.921,383.0,104.0
43.964,381.0,104.0
44.003,381.0,104.0
44.042,381.0,104.0
44.084,382.0,105.0
44.124,383.0,105.0
44.162,383.0,105.0
44.204,383.0,105.0
44.244,383.0,105.0
44.285,383.0,105.0
44.324,383.0,105.0
44.363,382.0,105.0
44.403,375.0,104.0
44.442,359.0,105.0
44.482,341.0,105.0
44.523,327.0,105.0
44.564,315.0,104.0
44.602,305.0,109.0
44.644,297.0,115.0
44.683,291.0,121.0
44.723,284.0,126.0
44.765,272.0,131.0
44.804,257.0,135.0
44.843,242.0,136.0
44.884,228.0,137.0
44.923,217.0,138.0
44.962,213.0,138.0
45.004,212.0,137.0
45.043,211.0,134.0
45.084,209.0,128.0
45.123,205.0,121.0
45.164,198.0,115.0
45.203,195.0,112.0
45.245,183.0,109.0
45.284,178.0,110.0
45.324,174.0,110.0
45.364,172.0,109.0
45.404,170.0,109.0
45.444,170.0,110.0
45.485,170.0,110.0
45.525,169.0,110.0
45.564,169.0,110.0
45.604,168.0,110.0
45.642,169.0,110.0
45.684,168.0,110.0
45.725,168.0,110.0
45.763,167.0,110.0
45.802,167.0,110.0
45.844,162.0,108.0
45.882,150.0,105.0
45.923,135.0,106.0
45.961,125.0,107.0
46.002,110.0,112.0
46.044,98.0,118.0
46.084,91.0,125.0
46.125,89.0,135.0
46.165,91.0,143.0
46.205,91.0,148.0
46.244,91.0,149.0
46.284,90.0,148.0
46.325,90.0,148.0
46.364,90.0,147.0
46.405,89.0,147.0
46.445,89.0,147.0
46.484,89.0,147.0
46.524,89.0,147.0
46.564,89.0,147.0
46.602,89.0,147.0
46.644,89.0,147.0
46.686,89.0,149.0
46.724,90.0,156.0
46.762,91.0,171.0
46.804,94.0,190.0
46.841,98.0,205.0
46.885,102.0,215.0
46.922,109.0,220.0
46.965,117.0,224.0
47.003,128.0,225.0
47.045,135.0,225.0
47.085,136.0,226.0
47.125,137.0,226.0
47.165,137.0,226.0
47.205,136.0,226.0
47.245,136.0,226.0
47.284,136.0,226.0
47.325,136.0,226.0
47.365,137.0,225.0
47.404,138.0,226.0
