time,xposition,yposition,framenumber
28.411,379.0,67.0,669.0
28.45,381.0,63.0,670.0
28.49,385.0,60.0,671.0
28.531,389.0,58.0,672.0
28.568,391.0,55.0,673.0
28.611,393.0,52.0,674.0
28.651,394.0,51.0,675.0
28.691,393.0,52.0,676.0
28.731,392.0,54.0,677.0
28.768,394.0,55.0,678.0
28.811,396.0,57.0,679.0
28.849,398.0,58.0,680.0
28.891,403.0,59.0,681.0
28.928,410.0,61.0,682.0
28.971,418.0,64.0,683.0
29.012,425.0,68.0,684.0
29.051,431.0,73.0,685.0
29.091,436.0,79.0,686.0
29.129,439.0,90.0,687.0
29.171,443.0,99.0,688.0
29.211,445.0,107.0,689.0
29.25,443.0,116.0,690.0
29.289,441.0,126.0,691.0
29.331,440.0,132.0,692.0
29.371,438.0,136.0,693.0
29.409,435.0,140.0,694.0
29.451,432.0,142.0,695.0
29.492,431.0,143.0,696.0
29.532,430.0,143.0,697.0
29.571,431.0,143.0,698.0
29.612,431.0,144.0,699.0
29.651,432.0,144.0,700.0
29.691,432.0,144.0,701.0
29.731,431.0,144.0,702.0
29.769,430.0,146.0,703.0
29.811,428.0,151.0,704.0
29.851,425.0,161.0,705.0
29.89,423.0,178.0,706.0
29.932,418.0,188.0,707.0
29.973,414.0,197.0,708.0
30.012,409.0,203.0,709.0
30.05,406.0,209.0,710.0
30.091,403.0,212.0,711.0
30.132,401.0,214.0,712.0
30.172,396.0,216.0,713.0
30.21,391.0,217.0,714.0
30.249,386.0,219.0,715.0
30.29,383.0,219.0,716.0
30.33,383.0,220.0,717.0
30.369,383.0,221.0,718.0
30.412,382.0,221.0,719.0
30.453,380.0,221.0,720.0
30.492,379.0,221.0,721.0
30.53,379.0,221.0,722.0
30.569,379.0,220.0,723.0
30.61,379.0,220.0,724.0
30.651,379.0,220.0,725.0
30.692,379.0,220.0,726.0
30.731,379.0,220.0,727.0
30.772,379.0,220.0,728.0
30.811,379.0,220.0,729.0
30.852,375.0,221.0,730.0
30.892,369.0,223.0,731.0
30.934,361.0,226.0,732.0
30.973,355.0,229.0,733.0
31.012,348.0,231.0,734.0
31.05,340.0,232.0,735.0
31.092,332.0,235.0,736.0
31.132,325.0,239.0,737.0
31.171,318.0,243.0,738.0
31.212,311.0,248.0,739.0
31.252,304.0,256.0,740.0
31.292,298.0,265.0,741.0
31.331,291.0,273.0,742.0
31.372,284.0,281.0,743.0
31.412,279.0,291.0,744.0
31.452,274.0,300.0,745.0
31.492,269.0,308.0,746.0
31.532,263.0,317.0,747.0
31.569,259.0,327.0,748.0
31.613,256.0,337.0,749.0
31.651,252.0,345.0,750.0
31.695,248.0,352.0,751.0
31.731,246.0,360.0,752.0
31.772,243.0,368.0,753.0
31.811,240.0,374.0,754.0
31.854,237.0,380.0,755.0
31.893,234.0,384.0,756.0
31.933,230.0,388.0,757.0
31.972,225.0,391.0,758.0
32.012,220.0,396.0,759.0
32.052,217.0,399.0,760.0
32.092,217.0,401.0,761.0
